source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @WhiteHouse: America is engaged in a historic battle to safeguard the lives of our citizens. https://t.co/DgiyktSc9O,4/3/2020 23:51,8277,0,TRUE,1.24622E+18
Twitter for iPhone,RT @WhiteHouse: Our hearts go out to the communities hardest hit by the Coronavirus—and we salute the great medical professionals on the fr…,4/3/2020 23:50,5094,0,TRUE,1.24622E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/hNZ4Y7sEUl,4/3/2020 21:24,5790,0,TRUE,1.24619E+18
Twitter for iPhone,Great job being done by @BankofAmerica and many community banks throughout the country. Small businesses appreciate your work!,4/3/2020 18:49,14045,77750,FALSE,1.24615E+18
Twitter for iPhone,The Paycheck Protection Program is now available! #CARESActSmall Business Guidance &amp; Loan Resources: https://t.co/lfe1wbsSNA https://t.co/eosegomf38,4/3/2020 17:51,11257,36902,FALSE,1.24613E+18
Twitter for iPhone,Thank you @DeptofDefense @USACEHQ @USNationalGuard @FEMA and @CDCgov! https://t.co/p9j7kZsD7b https://t.co/qmUE7F2E5D,4/3/2020 17:33,8376,29711,FALSE,1.24613E+18
Twitter for iPhone,Thank you @USNationalGuard keep up the great work! https://t.co/tzQb3eGDat,4/3/2020 17:29,10695,44248,FALSE,1.24613E+18
Twitter for iPhone,GREAT news this week regarding the Keystone XL Pipeline – moving forward with fantastic paying CONSTRUCTION jobs for hardworking Americans. Promises Made Promises Kept! #MAGA,4/3/2020 17:14,22739,111212,FALSE,1.24612E+18
Twitter for iPhone,Highly respected Justice Daniel Kelly is running for the Supreme Court in the Great State of Wisconsin. Justice Kelly has been doing a terrific job upholding the Rule of Law and defending your #2A. Tough on Crime Loves our Military and our Vets. He has my Complete Endorsement!,4/3/2020 17:12,18763,81009,FALSE,1.24612E+18
Twitter for iPhone,RT @SBAgov: 🚨STAY VIGILANT 🚨There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…,4/3/2020 16:45,5452,0,TRUE,1.24612E+18
Twitter for iPhone,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…,4/3/2020 16:45,5228,0,TRUE,1.24612E+18
Twitter for iPhone,We hit 3M hard today after seeing what they were doing with their Masks. “P Act” all the way. Big surprise to many in government as to what they were doing - will have a big price to pay!,4/3/2020 0:52,42773,195122,FALSE,1.24588E+18
Twitter for iPhone,https://t.co/C4YLj4hKZn,4/3/2020 0:15,12346,50761,FALSE,1.24587E+18
Twitter for iPhone,RT @WhiteHouse: .@SBAJovita: The President has put the Nation's 30 million small businesses front and center in the response effort. http…,4/3/2020 0:15,8371,0,TRUE,1.24587E+18
Twitter for iPhone,https://t.co/GElcwjwBY2,4/3/2020 0:13,12456,55037,FALSE,1.24587E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/L80j4W1c8O,4/2/2020 21:23,7870,0,TRUE,1.24582E+18
Twitter for iPhone,30 DAYS TO SLOW THE SPREAD https://t.co/GIzwKSt5mq,4/2/2020 16:48,21656,85911,FALSE,1.24575E+18
Twitter for iPhone,.....Could be as high as 15 Million Barrels. Good (GREAT) news for everyone!,4/2/2020 14:54,17462,96470,FALSE,1.24573E+18
Twitter for iPhone,Just spoke to my friend MBS (Crown Prince) of Saudi Arabia who spoke with President Putin of Russia &amp; I expect &amp; hope that they will be cutting back approximately 10 Million Barrels and maybe substantially more which if it happens will be GREAT for the oil &amp; gas industry!,4/2/2020 14:32,39430,158824,FALSE,1.24572E+18
Twitter for iPhone,“The States have to get the money to the people who need it.” @MariaBartiromo  And FAST!,4/2/2020 14:12,18897,89897,FALSE,1.24572E+18
Twitter for iPhone,RT @parscale: 💯 Great idea!,4/2/2020 13:28,8149,0,TRUE,1.2457E+18
Twitter for iPhone,RT @ericbolling: Mr. President With total respect and recognizing you are doing more than any President has .. Please have @stevenmnuchin1…,4/2/2020 13:27,6677,0,TRUE,1.2457E+18
Twitter for iPhone,RT @DonaldJTrumpJr: Great to hear! CA’s Gov Newsom about @realDonaldTrump“Let me just be candid with you. I’d be lying to you to say that…,4/2/2020 13:26,20643,0,TRUE,1.2457E+18
Twitter for iPhone,RT @GOPChairwoman: .@realDonaldTrump doesn’t care if you’re a Democrat or a Republican. He has shown he is willing to work with everyone…,4/2/2020 13:26,8721,0,TRUE,1.2457E+18
Twitter for iPhone,RT @GOPChairwoman: “The last time America faced an economic downturn Michigan suffered mightily. @realDonaldTrump is working overtime to m…,4/2/2020 13:25,6675,0,TRUE,1.2457E+18
Twitter for iPhone,RT @nickmalinowskii: A big thanks to all the workers of ups usps Amazon etc. who are still going to work every day risking their health…,4/2/2020 13:21,7175,0,TRUE,1.2457E+18
Twitter for iPhone,....have been stocked up and ready long before this crisis hit. Other states are thrilled with the job we have done. Sending many Ventilators today with thousands being built. 51 large cargo planes coming in with medical supplies. Prefer sending directly to hospitals.,4/2/2020 13:17,14197,62527,FALSE,1.2457E+18
Twitter for iPhone,Massive amounts of medical supplies even hospitals and medical centers are being delivered directly to states and hospitals by the Federal Government. Some have insatiable appetites &amp; are never satisfied (politics?). Remember we are a backup for them. The complainers should...,4/2/2020 13:17,23589,105747,FALSE,1.2457E+18
Twitter for iPhone,Somebody please explain to Cryin’ Chuck Schumer that we do have a military man in charge of distributing goods a very talented Admiral in fact. New York has gotten far more than any other State including hospitals &amp; a hospital ship but no matter what always complaining.....,4/2/2020 12:57,33394,151582,FALSE,1.2457E+18
Twitter for iPhone,...It wouldn’t matter if you got ten times what was needed it would never be good enough. Unlike other states New York unfortunately got off to a late start. You should have pushed harder. Stop complaining &amp; find out where all of these supplies are going. Cuomo working hard!,4/2/2020 12:57,17943,81857,FALSE,1.2457E+18
Twitter for iPhone,RT @WhiteHouse: We are leveraging the incredible power of American manufacturers and suppliers to make procure and deliver crucial medica…,4/1/2020 23:23,11534,0,TRUE,1.24549E+18
Twitter for iPhone,RT @WhiteHouse: “We're at war with COVID-19 we're at war with terrorists and we are at war with the drug cartels . . . We're the United S…,4/1/2020 23:23,20010,0,TRUE,1.24549E+18
Twitter for iPhone,RT @WhiteHouse: We are fighting the Coronavirus on every possible front—and we will achieve total victory with the help of the American peo…,4/1/2020 23:22,8995,0,TRUE,1.24549E+18
Twitter for iPhone,Upon information and belief Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens Iran will pay a very heavy price indeed!,4/1/2020 17:05,66622,326808,FALSE,1.2454E+18
Twitter for iPhone,Congress must pass the old and very strongly proven deductibility by businesses on restaurants and entertainment. This will bring restaurants and everything related back - and stronger than ever. Move quickly they will all be saved!,4/1/2020 16:36,33321,149861,FALSE,1.24539E+18
Twitter for iPhone,https://t.co/cawqG2DGXV,4/1/2020 0:32,12885,51419,FALSE,1.24515E+18
Twitter for iPhone,https://t.co/nQfccoKPj2,4/1/2020 0:32,14379,62898,FALSE,1.24515E+18
